質問項目,性別,年齢,年代,職業,職種,従業員数（民間企業）,居住地,居住地（7区分）,勤務地,勤務地（7区分）,1.あなたの職場では、ポジションごとに求められる役割や、その役割の遂行に当たり必要な知識・スキルが明確に示されている。,2.あなたは、現在従事するポジションに求められる役割の遂行に当たり必要な知識・スキルを習得するために、トレーニングの機会を与えられるなど、組織から十分なサポートを受けている。,3.あなたが公務組織（民間企業）で身に付けた知識・スキルは、民間企業（公務組織）でも活かせると思う。,4.あなたは、リスキリング（新しい仕事をするために学ぶこと、職業能力の再開発・再教育）に関心がある。,5.あなたは、業務に関する知識・スキルの保有状況を組織内で共有・公開したいと思う。（その情報は、例えば人事異動の検討などに活用することが想定されます。）,6.あなたは、業務と関係のない特技や趣味といった、業務外でのあなた自身のことを深く知ることにつながる情報を組織内で共有・公開したいと思う。（組織内でのコミュニケーション活性化に活用することが想定されます。）,7.あなたは、将来、どのような職務に従事したいか、そのために今からどのようなキャリアを歩みたいかについて、具体的に考えている。,8.あなたは、自分自身のキャリアやスキルアップのための自己研鑽（業務として行うものではないもの）に取り組んでいますか。,9.あなたの職場では、自分自身のキャリア（例えば将来歩みたいキャリアパスなど）について上司や人事担当者などに気軽に相談できる機会や仕組みがある。,10.あなたは、選べるとしたら、１つの部署に長年在籍して特定の専門分野を極めたいですか。それとも、様々な部署を経験し、その組織全体の総合的な知識を身に付けたいですか。,11.次の８つの選択肢のうち、「働くうえで、自分にとって最も重要と感じること」を１つ選択してください。,12.あなたは、「転職」や「人材の流動化」について、ポジティブとネガティブのどちらの印象をより強くお持ちですか。,13.あなた自身は、今後、転職することを考えていますか。,14.あなたは、民間企業（各府省庁（国家公務員））への転職に関心がある。,15.あなたは、あなたの所属する組織のミッション・ビジョン・バリューやパーパスに共感している。,16.あなたは、仕事を進めるにあたり十分な裁量を与えられている。,17.あなたは、いまの職場の仕事に熱中することができている。,18.あなたは、これまでの自分自身の人事異動に納得している。,19.あなたの職場では、業務効率化の取組みが積極的に行われている。,20.あなたの職場では、適切な人員配置が行われている。,21.あなたは、上司や人事担当者には、従業員（職員）一人一人のキャリア志向、成した成果などについて、もっと丁寧に向き合ってほしいと思う。,22.あなたは、これまでの自分自身に対する人事評価に納得している。,23.あなたの職場では、従業員（職員）を大切にする風土がある。,24.あなたの職場では、何事も気軽に相談できる雰囲気がある。,25.あなたは、現在の勤務時間や勤務場所に不都合を感じることはない（状況に合わせた柔軟な働き方ができている）。,26.あなたは、いまの職場で働くことに満足している。,27.あなたは、現在の職場を親しい友人や知人に勧めたいと思う。,28.従業員（職員）の満足度ややりがいを高める目的で、人事部門があなたの個人情報の提供を求めたり、実際に収集し分析したりすることに抵抗はない。
回答者10,1,27,2,1,1,2,4,1,4,1,3,3,3,3,3,3,3,4,5,3,8,3,5,5,5,3,3,3,3,3,3,3,3,3,3,1,3,3
回答者11,1,29,2,1,1,3,2,1,4,1,2,2,2,3,3,2,2,2,2,2,4,2,2,2,3,2,2,2,2,3,3,2,2,2,3,3,2,2
回答者12,2,29,2,1,5,3,1,1,1,1,3,3,5,3,3,3,2,3,3,3,2,1,3,3,3,3,3,3,4,2,3,3,4,4,4,3,3,3
回答者13,2,28,2,1,1,5,2,1,2,1,3,3,3,3,3,3,5,4,3,1,2,1,2,2,1,3,2,3,1,1,3,2,2,2,2,3,2,3
回答者14,2,30,3,1,2,2,6,1,6,1,1,2,2,1,3,2,1,2,1,1,3,1,4,1,5,1,1,4,4,1,2,2,2,1,1,3,2,1
回答者15,2,33,3,1,1,5,1,1,1,1,2,3,2,3,2,1,5,1,2,2,1,5,5,1,5,3,3,2,2,3,2,3,3,2,1,1,2,5
回答者16,1,30,3,1,3,1,3,1,3,1,2,4,4,5,4,5,4,4,4,4,1,3,2,4,3,4,5,4,4,5,4,4,4,5,5,5,5,5
回答者17,1,30,3,1,4,3,7,1,7,1,3,3,4,3,3,3,4,4,5,3,4,1,2,3,7,3,4,4,4,4,5,3,5,5,4,5,4,5
回答者18,2,32,3,1,4,2,3,1,3,1,2,1,4,5,5,2,4,4,3,3,4,2,5,5,6,2,2,2,3,3,3,2,2,1,1,1,2,5
回答者19,1,32,3,1,2,1,1,1,1,1,3,3,2,3,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,3,2,1,3,2,2,2,2,3
回答者20,2,38,4,1,2,4,6,1,6,1,2,2,2,2,2,2,3,3,2,1,4,3,4,3,4,3,3,4,5,5,2,5,1,1,1,2,2,4
回答者21,2,36,4,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,4,1,2,3,2,2,2,2,2,3,2,2,2,1,1,2,2,2,2
回答者22,1,37,4,1,3,2,1,1,1,1,3,3,3,2,4,4,4,3,3,2,4,2,4,4,3,2,3,3,3,3,2,3,3,3,3,3,3,3
回答者23,1,37,4,1,2,2,1,1,1,1,3,2,2,2,3,2,2,2,3,3,1,2,3,2,4,3,4,4,4,4,1,5,5,4,5,5,5,3
回答者24,2,38,4,1,1,1,7,1,7,1,5,5,4,1,5,5,2,1,5,1,1,5,1,5,7,5,5,5,5,5,1,5,5,5,5,5,5,5
回答者25,2,37,4,1,1,3,1,1,1,1,3,3,3,4,3,5,4,4,3,2,4,4,4,5,6,4,4,3,4,5,3,3,4,4,4,4,5,4
回答者26,1,41,5,1,2,1,6,1,6,1,3,3,3,3,3,3,3,1,5,1,1,3,4,5,3,2,2,5,4,4,1,5,5,5,3,3,5,5
回答者27,2,40,5,1,2,1,7,1,7,1,3,3,3,2,3,3,4,4,5,4,4,3,4,5,3,3,3,4,4,3,3,3,3,3,3,3,2,3
回答者28,1,43,5,1,2,5,1,1,1,1,3,2,2,2,2,2,2,3,3,1,6,2,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
回答者29,2,42,5,1,1,1,6,1,6,1,5,5,2,2,5,5,3,3,4,2,4,5,3,2,7,4,5,2,4,5,1,5,5,5,5,5,5,2
回答者30,1,42,5,1,3,2,7,1,7,1,1,1,1,1,1,1,4,4,2,2,8,2,5,5,7,4,3,3,3,2,3,2,2,3,4,2,3,3
回答者31,1,47,6,1,3,1,1,1,1,1,2,3,3,4,3,3,3,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者32,1,47,6,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1,3,1,1,5,1,5,5,5,1,5,5,5,5,5,5,5
回答者33,2,49,6,1,5,1,2,1,2,1,2,4,4,5,4,4,4,3,4,4,4,2,3,5,6,2,2,2,3,2,4,2,4,4,3,2,3,4
回答者34,2,47,6,1,5,5,4,1,4,1,2,2,3,3,2,2,2,4,3,4,7,3,5,5,7,3,3,4,2,3,3,3,3,3,3,3,3,3
回答者35,1,49,6,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者36,2,45,6,1,2,5,3,1,3,1,4,5,5,2,3,5,4,4,4,5,8,4,5,2,5,2,2,3,1,3,3,1,4,2,3,2,4,3
回答者37,1,49,6,1,1,2,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者38,1,53,7,1,4,3,5,1,5,1,3,4,3,2,4,3,3,2,3,3,4,3,4,4,3,2,4,3,3,4,2,3,3,2,4,3,3,3
回答者39,2,51,7,1,4,1,1,1,1,1,5,5,5,5,5,5,4,3,2,3,2,1,4,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者40,2,54,7,1,2,4,1,1,1,1,3,3,3,4,3,3,3,4,4,3,8,3,4,5,6,2,2,3,3,3,2,3,4,3,3,3,3,3
回答者41,1,54,7,1,5,4,7,1,7,1,2,2,2,2,2,2,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
回答者42,1,55,8,1,1,3,1,1,1,1,2,2,5,3,3,3,4,4,3,1,4,3,5,5,3,2,2,2,2,2,2,2,2,2,2,3,3,3
回答者43,2,55,8,1,1,3,4,1,4,1,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,5,4,4,4,4,4,4,5,4,5,4,4
回答者44,1,57,8,1,1,1,6,1,6,1,3,4,4,2,2,2,4,3,4,4,5,3,5,2,2,3,3,4,2,3,2,3,2,3,3,3,2,2
回答者45,2,55,8,1,4,1,1,1,1,1,3,3,3,3,3,3,3,4,3,5,4,2,5,4,6,3,3,3,3,3,3,3,3,3,3,4,4,3
回答者46,2,56,8,1,2,2,3,1,3,1,1,3,5,5,5,5,5,4,4,3,8,2,5,5,7,1,1,1,5,5,5,1,5,2,1,1,5,2
回答者47,2,63,9,1,1,1,7,1,7,1,1,3,3,3,2,3,1,1,3,1,4,3,5,4,2,2,2,2,3,2,2,3,3,2,2,2,3,3
回答者48,1,64,9,1,5,5,1,1,1,1,2,2,2,3,3,2,3,4,2,2,4,5,5,5,3,2,3,2,2,3,2,2,3,2,3,2,4,3
回答者49,1,60,9,1,1,1,1,1,1,1,2,2,3,3,2,2,4,4,4,1,6,3,4,5,4,1,3,2,2,2,3,3,2,3,3,3,3,3
回答者50,2,64,9,1,1,1,1,1,1,1,3,3,4,2,3,4,3,3,3,3,4,3,4,5,7,3,4,3,3,3,3,3,3,3,3,3,3,3
回答者51,2,63,9,1,1,1,1,1,1,1,5,5,5,5,5,5,4,4,5,3,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者52,2,63,9,1,1,1,3,1,3,1,2,2,2,2,3,2,4,1,2,1,1,2,2,5,2,4,2,2,4,4,2,2,2,2,2,3,4,4
回答者53,1,62,9,1,5,5,1,1,1,1,5,5,4,5,3,3,3,4,5,3,1,3,4,3,3,3,3,2,3,2,3,2,2,2,4,3,3,2
回答者54,1,23,1,1,1,5,12,2,13,3,2,1,5,5,2,2,2,1,2,1,4,1,5,5,1,2,3,1,1,2,2,2,2,3,2,1,2,2
回答者55,2,24,1,1,1,2,12,2,12,2,5,5,5,5,5,5,3,1,2,2,4,3,2,4,7,4,2,2,4,4,3,4,3,3,3,5,5,4
回答者56,1,24,1,1,1,5,14,2,14,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,3,2,2,1,2,1
回答者57,1,24,1,1,3,3,14,2,14,2,4,5,1,3,2,1,2,1,2,2,6,2,1,2,1,2,3,4,3,1,2,4,5,3,2,1,4,3
回答者58,1,21,1,1,1,2,14,2,14,2,2,2,3,2,3,3,2,3,3,4,8,2,3,3,3,2,2,3,2,3,2,2,2,2,2,2,3,3
回答者59,1,24,1,1,1,5,14,2,14,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1
回答者60,2,21,1,1,3,3,11,2,11,2,1,1,2,2,2,1,1,1,2,1,2,4,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
回答者61,1,22,1,1,1,2,11,2,11,2,1,1,1,1,1,2,1,1,1,4,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2
回答者62,2,21,1,1,4,3,11,2,13,3,3,3,3,2,3,2,3,3,3,3,8,2,2,3,4,4,4,3,2,3,4,3,1,2,4,3,2,3
回答者63,1,24,1,1,5,2,9,2,9,2,2,3,5,4,3,4,3,3,3,2,4,2,3,5,6,2,2,3,3,2,3,4,3,3,3,3,4,3
回答者64,2,24,1,1,4,5,11,2,11,2,2,2,3,3,3,3,2,3,2,2,3,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2
回答者65,2,24,1,1,4,2,9,2,9,2,5,5,5,5,5,5,4,3,3,3,4,2,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
回答者66,2,23,1,1,1,2,12,2,12,2,3,2,3,3,5,4,2,4,3,3,4,2,1,3,3,4,3,4,1,3,3,4,2,2,3,3,5,3
回答者67,1,23,1,1,1,3,12,2,12,2,3,3,2,3,3,2,3,1,4,2,1,3,2,4,7,3,3,2,3,3,3,2,3,3,2,2,2,2
回答者68,2,20,1,1,1,1,14,2,14,2,4,2,2,3,2,4,2,3,2,4,4,1,3,1,1,2,2,5,3,3,2,4,2,2,5,4,5,5
回答者69,1,24,1,1,4,5,11,2,11,2,3,4,3,3,3,3,5,4,2,3,6,3,5,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3
回答者70,2,22,1,1,1,2,14,2,14,2,3,3,3,3,2,4,2,2,2,2,3,2,3,2,2,3,2,3,3,2,3,3,3,2,3,3,3,2
回答者71,1,23,1,1,1,1,11,2,11,2,4,4,4,4,4,3,3,3,4,3,1,3,1,4,5,4,4,3,3,4,3,3,3,3,3,3,3,3
回答者72,1,26,2,1,1,5,12,2,12,2,2,2,3,3,3,3,2,1,2,3,1,3,5,4,3,3,3,3,3,2,3,2,3,3,2,3,2,3
回答者73,2,25,2,1,1,2,11,2,13,3,3,3,3,4,4,4,4,3,4,4,1,4,3,5,4,3,3,3,2,3,3,3,3,3,3,4,4,3
回答者74,1,27,2,1,1,3,12,2,12,2,1,3,1,2,1,1,2,2,1,2,5,1,2,3,1,2,1,1,2,3,2,1,2,2,3,1,1,2
回答者75,1,27,2,1,5,3,12,2,13,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,2,3,2,3,2
回答者76,2,26,2,1,1,5,14,2,14,2,4,4,3,4,4,3,4,4,4,4,8,3,3,2,6,4,3,4,4,2,3,4,2,2,3,3,3,4
回答者77,2,27,2,1,1,4,11,2,13,3,2,3,4,4,3,3,4,4,2,2,4,3,5,4,3,2,2,2,2,2,2,2,3,3,3,2,2,2
回答者78,2,26,2,1,5,4,11,2,11,2,3,3,3,3,3,3,3,4,5,3,8,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4
回答者79,2,26,2,1,5,4,14,2,14,2,3,3,4,4,4,4,3,4,4,3,4,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者80,2,28,2,1,3,3,14,2,14,2,3,3,3,3,3,3,5,4,5,5,8,4,5,5,5,3,3,3,3,3,2,4,4,4,5,4,5,5
回答者81,1,29,2,1,3,4,11,2,11,2,2,3,2,2,3,3,4,3,3,2,1,2,5,2,7,2,2,2,2,2,2,2,3,2,2,2,3,3
回答者82,2,29,2,1,1,2,14,2,14,2,2,3,5,5,5,5,5,1,2,1,4,2,4,5,6,4,3,1,2,2,3,1,1,1,2,2,3,1
回答者83,1,28,2,1,1,1,14,2,14,2,1,4,2,3,4,2,2,2,1,2,5,2,2,2,2,3,3,2,3,4,2,3,4,2,3,3,2,3
回答者84,2,25,2,1,1,5,14,2,14,2,1,2,4,2,1,1,2,1,1,4,1,2,5,5,2,2,1,2,2,1,2,2,1,1,1,1,2,2
回答者85,1,31,3,1,1,3,12,2,13,3,2,1,2,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
回答者86,1,30,3,1,4,4,12,2,12,2,3,2,1,3,4,2,1,3,1,4,2,3,2,3,3,1,2,3,2,1,2,2,3,2,1,2,2,2
回答者87,1,31,3,1,4,3,12,2,12,2,2,2,2,3,2,4,2,3,2,4,4,1,2,4,6,2,4,2,2,2,2,1,2,2,1,2,2,1
回答者88,1,34,3,1,4,5,11,2,11,2,3,3,3,3,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
回答者89,2,30,3,1,1,2,11,2,11,2,2,3,2,4,4,5,2,2,2,3,3,2,2,3,2,2,4,3,4,2,3,4,3,4,3,3,3,4
回答者90,2,31,3,1,1,1,14,2,14,2,3,2,4,1,2,3,1,1,1,1,1,1,1,1,1,3,2,3,3,2,3,3,1,2,2,2,4,2
回答者91,2,30,3,1,1,5,12,2,12,2,4,2,3,1,2,1,2,2,3,2,5,1,2,2,3,2,5,2,4,3,1,1,2,1,1,3,5,2
回答者92,1,30,3,1,1,2,11,2,13,3,1,4,5,5,1,1,4,3,1,1,4,3,5,5,2,1,1,2,1,3,3,1,3,1,1,5,5,3
回答者93,1,34,3,1,3,5,14,2,14,2,3,2,3,2,3,3,3,4,3,4,4,3,3,3,3,2,2,2,2,3,2,3,3,3,3,3,2,3
回答者94,1,30,3,1,1,5,11,2,13,3,2,1,2,2,2,3,2,2,5,1,1,4,5,5,2,3,1,3,3,2,3,3,3,2,3,3,2,3
回答者95,1,33,3,1,1,5,11,2,11,2,3,2,4,3,3,3,2,2,5,1,1,4,5,4,2,3,1,1,2,3,3,2,2,1,3,1,2,2
回答者96,1,33,3,1,1,4,11,2,13,3,2,3,4,2,3,3,3,1,3,4,2,3,4,5,5,4,3,2,3,2,2,3,2,1,3,2,3,4
回答者97,2,33,3,1,4,5,12,2,12,2,4,4,4,4,4,4,4,4,4,2,5,4,5,5,7,4,4,4,4,4,4,4,3,4,3,4,4,4
回答者98,2,30,3,1,1,1,12,2,13,3,4,4,4,4,5,5,3,4,4,3,6,4,4,4,4,3,2,4,4,3,3,4,3,4,3,3,3,3
回答者99,1,36,4,1,1,1,11,2,11,2,1,3,3,2,2,3,3,1,4,2,2,2,4,4,2,1,3,2,3,2,4,2,2,2,3,2,3,4
回答者100,2,37,4,1,1,3,12,2,12,2,3,3,3,3,3,3,3,4,5,3,6,3,5,3,4,2,3,3,3,2,2,2,2,2,2,2,2,2
回答者101,1,36,4,1,1,4,14,2,13,3,3,2,4,3,2,3,2,3,1,4,4,3,5,3,3,3,3,2,2,3,2,2,3,3,2,3,2,3
回答者102,1,37,4,1,3,2,11,2,11,2,2,4,4,3,3,4,4,3,4,2,8,2,4,5,3,2,3,3,3,3,3,3,3,3,3,3,4,3
回答者103,1,36,4,1,1,3,12,2,13,3,3,2,2,1,2,2,2,1,2,2,1,1,2,3,2,3,4,3,2,3,3,4,4,3,3,3,4,4
回答者104,2,37,4,1,1,2,11,2,11,2,4,4,5,2,4,5,5,4,3,5,5,4,5,5,6,2,4,2,3,4,3,2,3,3,3,2,3,4
回答者105,1,39,4,1,2,2,11,2,11,2,2,3,2,2,3,2,4,1,5,2,8,3,5,3,6,3,3,3,3,4,3,3,3,3,2,3,2,3
